"CLAVE","DESCRIPCION","UNIDAD","DESCAP"
18,Tambor de cincuenta y cinco galones (EUA),,TAMBOR DE CINCUENTA Y CINCO GALONES (EUA)
19,Camión cisterna,,CAMION CISTERNA
26,Tonelada real,,TONELADA REAL
29,Libra por mil pies cuadrados,Lb / kft?,LIBRA POR MIL PIES CUADRADOS
30,Día de potencia de caballos por tonelada métrica de aire seco,,DIA DE POTENCIA DE CABALLOS POR TONELADA METRICA DE AIRE SECO
31,Pescar,,PESCAR
32,Kilogramo por tonelada métrica seca del aire,,KILOGRAMO POR TONELADA METRICA SECA DEL AIRE
36,Pie cúbico por minuto por pie cuadrado,Ft2 / (min / ft2),PIE CUBICO POR MINUTO POR PIE CUADRADO
44,Bolsa a granel de quinientos kilos,,BOLSA A GRANEL DE QUINIENTOS KILOS
45,Bolsa a granel de trescientos kilos,,BOLSA A GRANEL DE TRESCIENTOS KILOS
46,Bolsa a granel de cincuenta libras,,BOLSA A GRANEL DE CINCUENTA LIBRAS
47,Bolso de cincuenta libras,,BOLSO DE CINCUENTA LIBRAS
48,Carga masiva,,CARGA MASIVA
53,Kilogramo teórico,,KILOGRAMO TEORICO
54,Tonelada teórica (UK),,TONELADA TEORICA (UK)
62,Por ciento por 1000 horas,,POR CIENTO POR 1000 HORAS
63,Tasa de fracaso en el tiempo,,TASA DE FRACASO EN EL TIEMPO
64,"Libra por pulgada cuadrada, calibre",,"LIBRA POR PULGADA CUADRADA, CALIBRE"
66,Oersted,Oe,OERSTED
69,Escala específica de prueba,,ESCALA ESPECIFICA DE PRUEBA
71,Voltios amperios por libra,,VOLTIOS AMPERIOS POR LIBRA
72,Vatio por libra,,VATIO POR LIBRA
73,Amperios por centímetro,,AMPERIOS POR CENTIMETRO
76,Gauá,Gs,GAUá
77,Kilogauá,Ks,KILOGAUá
84,Kilopound-force por pulgada cuadrada,Klbf/in2,KILOPOUND-FORCE POR PULGADA CUADRADA
90,Saybold segundo universal,,SAYBOLD SEGUNDO UNIVERSAL
92,Calorías por centímetro cúbico,,CALORIAS POR CENTIMETRO CUBICO
93,Calorías por gramo,Cal / g,CALORIAS POR GRAMO
94,Unidad de curl,,UNIDAD DE CURL
95,Veinte mil galones,,VEINTE MIL GALONES
96,Diez mil galones (US),,DIEZ MIL GALONES (US)
97,Diez kilos de tambor,,DIEZ KILOS DE TAMBOR
98,Quince kilos de tambor,,QUINCE KILOS DE TAMBOR
05,Ascensor,,ASCENSOR
06,Pequeño aerosol,,PEQUENO AEROSOL
08,Montón de calor,,MONTON DE CALOR
10,Grupos,,GRUPOS
11,Equipos,,EQUIPOS
13,Raciones,,RACIONES
14,Shot,,SHOT
15,"Palo, medida militar.",,"PALO, MEDIDA MILITAR."
16,Tambor de 115 kilogramos,,TAMBOR DE 115 KILOGRAMOS
17,Tambor de cien libras,,TAMBOR DE CIEN LIBRAS
1A,Milla de carros,,MILLA DE CARROS
1B,Recuento de automóviles,,RECUENTO DE AUTOMOVILES
1C,Conteo de locomotoras,,CONTEO DE LOCOMOTORAS
1D,Caboose count,,CABOOSE COUNT
1E,Coche vacío,,COCHE VACIO
1F,Milla de tren,,MILLA DE TREN
1G,Galón del uso del combustible (los EUA),,GALON DEL USO DEL COMBUSTIBLE (LOS EUA)
1H,Milla de caboose,,MILLA DE CABOOSE
1I,Tipo de interés fijo,,TIPO DE INTERES FIJO
1J,Tonelada milla,,TONELADA MILLA
1K,Milla locomotora,,MILLA LOCOMOTORA
1L,Recuento total de automóviles,,RECUENTO TOTAL DE AUTOMOVILES
1M,Milla total del coche,,MILLA TOTAL DEL COCHE
1X,Cuarto de milla,,CUARTO DE MILLA
20,Contenedores de veinte pies,,CONTENEDORES DE VEINTE PIES
21,Contenedor de cuarenta pies,,CONTENEDOR DE CUARENTA PIES
22,Decilitro por gramo,dl/g,DECILITRO POR GRAMO
23,Gramo por centímetro cúbico,g/cm3,GRAMO POR CENTIMETRO CUBICO
24,Libra teórica,,LIBRA TEORICA
25,Gramo por centímetro cuadrado,g/cm2,GRAMO POR CENTIMETRO CUADRADO
27,Tonelada teórica,,TONELADA TEORICA
28,Kilogramo por metro cuadrado,kg/m2,KILOGRAMO POR METRO CUADRADO
2A,Radián por segundo,rad/s,RADIAN POR SEGUNDO
2B,Radián por segundo cuadrado,    rad/s?,RADIAN POR SEGUNDO CUADRADO
2C,Roentgen,R,ROENTGEN
2G,Voltios CA,V,VOLTIOS CA
2H,Voltios CD,V,VOLTIOS CD
2I,Unidad térmica británica (tabla internacional) por hora,    BtuIT/h,UNIDAD TERMICA BRITANICA (TABLA INTERNACIONAL) POR HORA
2J,Centímetro cúbico por segundo,cm3/s,CENTIMETRO CUBICO POR SEGUNDO
2K,Pie cúbico por hora,ft?/h,PIE CUBICO POR HORA
2L,Pie cúbico por minuto,    ft?/min,PIE CUBICO POR MINUTO
2M,Centímetro por segundo,cm/s,CENTIMETRO POR SEGUNDO
2N,Decibel,dB,DECIBEL
2P,Kilobyte,kbyte,KILOBYTE
2Q,Kilobecquerel,kBq,KILOBECQUEREL
2R,Kilocurie,kCi,KILOCURIE
2U,Megagramo,Mg,MEGAGRAMO
